team,player,gms_played,min_played,usage_pct,fgm,fga,fg_pct,two_pt_m,two_pt_att,two_pt_pct,eff_fg_pct,ftm,fta,ft_pct,ft_rate,pts
ORL,Jalen Suggs,48,1307,25.3,4.1,11.4,0.361,3.3,7.3,0.443,0.4,2.6,3.4,0.773,0.297,11.8
ORL,Wendell Carter Jr.,62,1852,20.9,5.8,11,0.525,4.7,7.6,0.615,0.576,2.3,3.3,0.691,0.303,15
ORL,Gary Harris,61,1730,16.4,3.9,9.1,0.434,2,4.1,0.494,0.539,1.4,1.6,0.874,0.172,11.1
ORL,R.J. Hampton,64,1402,18.4,2.7,7.1,0.383,1.7,4.3,0.405,0.453,1.2,1.8,0.641,0.256,7.6
ORL,Hassani Gravett,8,171,12.3,2.3,4.8,0.474,0.9,1.5,0.583,0.618,0.4,0.5,0.75,0.105,6.3
ORL,Cole Anthony,65,2059,25.1,5.5,14,0.391,3.5,8,0.432,0.464,3.3,3.9,0.854,0.277,16.3
ORL,Chuma Okeke,70,1749,16.4,3.1,8.2,0.376,1.4,2.9,0.48,0.478,0.8,0.9,0.846,0.113,8.6
ORL,Terrence Ross,63,1448,20.5,3.5,8.8,0.397,2.3,4.6,0.493,0.467,1.8,2.1,0.862,0.235,10
ORL,Admiral Schofield,38,469,14.5,1.4,3.4,0.419,0.7,1.3,0.56,0.519,0.3,0.4,0.8,0.116,3.8
ORL,Moritz Wagner,63,960,22.9,3.1,6.3,0.497,2.1,3.1,0.672,0.581,1.7,2,0.806,0.326,9
ORL,Ignas Brazdeikis,42,536,17.7,1.9,4.5,0.431,1.3,2.4,0.535,0.503,0.5,0.8,0.656,0.17,5
ORL,Freddie Gillespie,9,119,10.9,1,2.4,0.409,1,2.3,0.429,0.409,0.3,0.8,0.429,0.318,2.3
PHI,Danny Green,62,1353,12.3,2,5.2,0.394,0.4,0.8,0.469,0.555,0.2,0.2,0.786,0.044,5.9
PHI,Aaron Henry,6,17,18.5,0.2,0.8,0.2,0.2,0.7,0.25,0.2,0,0,,0,0.3
PHI,Tobias Harris,73,2543,21.7,6.8,14,0.482,5.4,10.2,0.525,0.532,2.3,2.8,0.842,0.198,17.2
PHI,Tyrese Maxey,75,2650,20.2,6.4,13.3,0.485,4.7,9.1,0.512,0.552,2.8,3.3,0.866,0.247,17.5
PHI,Joel Embiid,68,2297,37.2,9.8,19.6,0.499,8.4,15.9,0.529,0.534,9.6,11.8,0.814,0.602,30.6
PHI,Georges Niang,76,1736,16.8,3.2,7.4,0.437,1.2,2.3,0.511,0.575,0.7,0.8,0.881,0.105,9.2
PHI,Matisse Thybulle,66,1685,9.5,2.3,4.5,0.5,1.6,2.4,0.673,0.575,0.5,0.7,0.791,0.143,5.7
PHI,Charles Bassey,23,168,16.1,1.3,2,0.638,1.3,1.9,0.698,0.638,0.4,0.5,0.75,0.255,3
PHI,Myles Powell,11,52,18,0.5,1.5,0.294,0.4,1,0.364,0.324,0.2,0.2,1,0.118,1.2
PHI,Tyler Johnson,6,91,10.9,1,3.3,0.3,0.15,1.15,0.1665,0.425,0,0,,0,2.85
PHI,Paul Reed,38,302,16.7,1.4,2.5,0.563,1.4,2.3,0.591,0.573,0.2,0.4,0.429,0.146,3.1
PHI,Isaiah Joe,55,609,15.5,1.1,3.2,0.35,0.3,0.8,0.405,0.477,0.5,0.6,0.935,0.175,3.6
PHI,Jaden Springer,2,6,15,0.5,0.5,1,0.5,0.5,1,1,0,0,,0,1
PHI,Shake Milton,55,1179,18.3,3.1,7.3,0.429,2.4,4.9,0.481,0.483,1.1,1.3,0.836,0.181,8.2
PHI,Furkan Korkmaz,67,1414,17.6,2.7,7,0.387,1.6,3,0.515,0.469,1,1.3,0.81,0.179,7.6
PHO,Abdel Nader,14,145,15,0.9,2.5,0.343,0.6,1.5,0.381,0.4,0.4,0.7,0.6,0.286,2.4
PHO,Frank Kaminsky,9,181,19,4,7.3,0.545,3.4,5.7,0.608,0.583,2,2.2,0.9,0.303,10.6
PHO,Chandler Hutchison,6,22,13.5,0.2,0.3,0.5,0.2,0.3,0.5,0.5,0.3,0.3,1,1,0.7
PHO,Gabriel Lundberg,4,44,21.5,1.3,4.8,0.263,0.5,2.8,0.182,0.342,0,0,,0,3.3
PHO,Ish Wainright,45,359,14.7,0.9,2.3,0.394,0.5,1,0.489,0.486,0.2,0.3,0.583,0.115,2.4
PHO,Elfrid Payton,50,549,18.5,1.3,3.5,0.383,1.3,3.1,0.401,0.394,0.2,0.6,0.375,0.183,3
PHO,M.J. Walker,2,8,21.5,0,2,0,0,1,0,0,0,0,,0,0
PHO,Cameron Payne,58,1278,24.6,4.1,10.1,0.409,2.9,6.5,0.449,0.469,1.3,1.5,0.843,0.152,10.8
PHO,Emanuel Terry,3,18,23.9,0,1.7,0,0,1.7,0,0,0,0,,0,0
PHO,Mikal Bridges,82,2854,15,5.6,10.5,0.534,4.2,6.7,0.628,0.601,1.6,1.9,0.834,0.183,14.2
PHO,Devin Booker,68,2345,32,9.7,20.9,0.466,7,13.9,0.508,0.53,4.6,5.3,0.868,0.255,26.8
PHO,Bismack Biyombo,36,506,17.1,2.4,4,0.593,2.4,4,0.593,0.593,1.1,2,0.535,0.49,5.8
PHO,Paris Bass,2,7,54.6,1,3,0.333,1,2,0.5,0.333,1,1,1,0.333,3
PHO,Aaron Holiday,63,1021,19,2.35,5.4,0.439,1.75,3.8,0.461,0.4985,1.05,1.2,0.8695,0.215,6.45
