DIVISION,TM,SEASON,POSSESSIONS,PTS
Southeast,ORL,2021-22,8152,8547
Southeast,ORL,2022-23,8119,9136
Southeast,CHA,2000-01,7462,7539
Southeast,CHA,2001-02,7397,7700
Southeast,CHA,2002-03,NA,NA
Southeast,CHA,2003-04,NA,NA
Southeast,CHA,2004-05,7648,7729
Southeast,CHA,2005-06,7743,7943
Southeast,CHA,2006-07,7652,7945
Southeast,CHA,2007-08,7592,7959
Southeast,CHA,2008-09,7315,7677
Southeast,CHA,2009-10,7439,7813
Southeast,CHA,2010-11,7367,7650
Southeast,CHA,2011-12,6011,5739
Southeast,CHA,2012-13,7538,7661
Southeast,CHA,2013-14,7624,7942
Southeast,CHA,2014-15,7667,7721
Southeast,CHA,2015-16,7878,8479
Southeast,CHA,2016-17,7844,8601
Southeast,CHA,2017-18,8048,8874
Southeast,CHA,2018-19,8104,9081
Southeast,CHA,2019-20,6257,6687
Southeast,CHA,2020-21,7083,7881
Southeast,CHA,2021-22,8240,9457
Southeast,CHA,2022-23,8296,9098
Northwest,DEN,2000-01,7677,7918
Northwest,DEN,2001-02,7444,7559
Northwest,DEN,2002-03,7505,6901
Northwest,DEN,2003-04,7713,7972
Northwest,DEN,2004-05,7712,8161
Northwest,DEN,2005-06,7790,8227
Northwest,DEN,2006-07,8000,8639
Northwest,DEN,2007-08,8222,9074
Northwest,DEN,2008-09,7755,8555
Northwest,DEN,2009-10,7800,8729
Northwest,DEN,2010-11,7813,8811
Northwest,DEN,2011-12,6281,6872
Northwest,DEN,2012-13,7866,8704
Northwest,DEN,2013-14,8059,8559
Northwest,DEN,2014-15,7942,8320
Northwest,DEN,2015-16,7880,8355
Northwest,DEN,2016-17,8086,9161
Northwest,DEN,2017-18,7973,9020
Northwest,DEN,2018-19,8004,9075
Northwest,DEN,2019-20,7144,8124
Northwest,DEN,2020-21,7044,8284
Northwest,DEN,2021-22,8033,9243
Northwest,DEN,2022-23,8045,9495
Northwest,MIN,2000-01,7599,7982
Northwest,MIN,2001-02,7508,8145
Northwest,MIN,2002-03,7606,8046
Northwest,MIN,2003-04,7347,7753
Northwest,MIN,2004-05,7358,7934
Northwest,MIN,2005-06,7321,7522
Northwest,MIN,2006-07,7593,7877
Northwest,MIN,2007-08,7531,7839
Northwest,MIN,2008-09,7559,8019
Northwest,MIN,2009-10,7907,8051
Northwest,MIN,2010-11,7944,8288
Northwest,MIN,2011-12,6211,6464
Northwest,MIN,2012-13,7634,7851
Northwest,MIN,2013-14,8048,8768
Northwest,MIN,2014-15,7790,8016
Northwest,MIN,2015-16,7862,8398
Northwest,MIN,2016-17,7780,8657
Northwest,MIN,2017-18,7892,8980
Northwest,MIN,2018-19,8237,9223
Northwest,MIN,2019-20,6676,7248
Northwest,MIN,2020-21,7305,8073
Northwest,MIN,2021-22,8280,9507
Northwest,MIN,2022-23,8288,9494
Northwest,OKC,2000-01,7548,7978
Northwest,OKC,2001-02,7383,8014
Northwest,OKC,2002-03,7287,7555
Northwest,OKC,2003-04,7449,7964
Northwest,OKC,2004-05,7272,8113
Northwest,OKC,2005-06,7591,8411
Northwest,OKC,2006-07,7576,8130
Northwest,OKC,2007-08,7950,7999
Northwest,OKC,2008-09,7758,7952
Northwest,OKC,2009-10,7677,8322
Northwest,OKC,2010-11,7744,8596
Northwest,OKC,2011-12,6219,6802
Northwest,OKC,2012-13,7745,8669
Northwest,OKC,2013-14,7877,8705
Northwest,OKC,2014-15,7909,8524
Northwest,OKC,2015-16,7976,9038
Northwest,OKC,2016-17,8031,8741
Northwest,OKC,2017-18,7940,8844
Northwest,OKC,2018-19,8466,9387
Northwest,OKC,2019-20,7147,7950
Northwest,OKC,2020-21,7274,7560
Northwest,OKC,2021-22,8120,8506
Northwest,OKC,2022-23,8353,9633
Northwest,UTA,2000-01,7433,7959
Northwest,UTA,2001-02,7483,7871
Northwest,UTA,2002-03,7391,7762
Northwest,UTA,2003-04,7183,7271
Northwest,UTA,2004-05,7325,7625
Northwest,UTA,2005-06,7310,7573
Northwest,UTA,2006-07,7570,8322
Northwest,UTA,2007-08,7675,8710
Northwest,UTA,2008-09,7745,8492
Northwest,UTA,2009-10,7718,8547
Northwest,UTA,2010-11,7537,8153
Northwest,UTA,2011-12,6168,6577
Northwest,UTA,2012-13,7536,8038
Northwest,UTA,2013-14,7513,7791
Northwest,UTA,2014-15,7391,7801
Northwest,UTA,2015-16,7536,8010
Northwest,UTA,2016-17,7498,8258
Northwest,UTA,2017-18,7843,8540
Northwest,UTA,2018-19,8212,9161
Northwest,UTA,2019-20,7099,8013
Northwest,UTA,2020-21,7124,8382
Northwest,UTA,2021-22,7931,9316
Northwest,UTA,2022-23,8258,9600
Northwest,POR,2000-01,7371,7824
Northwest,POR,2001-02,7384,7925
Northwest,POR,2002-03,7394,7803
Northwest,POR,2003-04,7211,7440
Northwest,POR,2004-05,7398,7621
Northwest,POR,2005-06,7202,7285
Northwest,POR,2006-07,7333,7717
Northwest,POR,2007-08,7296,7820
Northwest,POR,2008-09,7175,8153
Northwest,POR,2009-10,7237,8045
Northwest,POR,2010-11,7271,7896
Northwest,POR,2011-12,6073,6415
Northwest,POR,2012-13,7560,7995
Northwest,POR,2013-14,7850,8753
Northwest,POR,2014-15,7781,8429
Northwest,POR,2015-16,7921,8622
Northwest,POR,2016-17,7999,8851
Northwest,POR,2017-18,7899,8661
Northwest,POR,2018-19,8199,9402
Northwest,POR,2019-20,7442,8508
Northwest,POR,2020-21,7078,8360
Northwest,POR,2021-22,8031,8711
Northwest,POR,2022-23,8070,9299
Pacific,SAC,2000-01,7910,8343
Pacific,SAC,2001-02,7882,8578
Pacific,SAC,2002-03,7914,8342
Pacific,SAC,2003-04,7680,8433
Pacific,SAC,2004-05,7740,8505
Pacific,SAC,2005-06,7620,8106
Pacific,SAC,2006-07,7816,8303
Pacific,SAC,2007-08,7821,8408
Pacific,SAC,2008-09,7810,8248
Pacific,SAC,2009-10,7776,8200
Pacific,SAC,2010-11,7832,8151
Pacific,SAC,2011-12,6271,6518
Pacific,SAC,2012-13,7736,8219
Pacific,SAC,2013-14,7766,8241
Pacific,SAC,2014-15,7864,8310
Pacific,SAC,2015-16,8233,8740
Pacific,SAC,2016-17,7816,8430
Pacific,SAC,2017-18,7757,8104
Pacific,SAC,2018-19,8448,9363
Pacific,SAC,2019-20,7183,7927
Pacific,SAC,2020-21,7189,8189
Pacific,SAC,2021-22,8172,9045
Pacific,SAC,2022-23,8263,9898
Pacific,PHX,2000-01,7705,7710
Pacific,PHX,2001-02,7580,7802
Pacific,PHX,2002-03,7561,7834
Pacific,PHX,2003-04,7631,7723
Pacific,PHX,2004-05,7944,9054
Pacific,PHX,2005-06,7965,8886
Pacific,PHX,2006-07,7907,9037
Pacific,PHX,2007-08,7961,9026
Pacific,PHX,2008-09,7887,8974
Pacific,PHX,2009-10,7819,9039
Pacific,PHX,2010-11,7854,8611
Pacific,PHX,2011-12,6095,6492
Pacific,PHX,2012-13,7707,7805
Pacific,PHX,2013-14,7888,8629
Pacific,PHX,2014-15,7967,8397
Pacific,PHX,2015-16,8081,8271
Pacific,PHX,2016-17,8244,8831
Pacific,PHX,2017-18,8175,8522
Pacific,PHX,2018-19,8283,8815
Pacific,PHX,2019-20,7377,8294
Pacific,PHX,2020-21,7062,8300
Pacific,PHX,2021-22,8144,9416
Pacific,PHX,2022-23,8070,9319
Pacific,LAC,2000-01,7474,7581
Pacific,LAC,2001-02,7445,7846
Pacific,LAC,2002-03,7538,7693
Pacific,LAC,2003-04,7546,7771
Pacific,LAC,2004-05,7479,7849
Pacific,LAC,2005-06,7569,7970
Pacific,LAC,2006-07,7455,7843
Pacific,LAC,2007-08,7612,7692
Pacific,LAC,2008-09,7628,7799
Pacific,LAC,2009-10,7581,7849
Pacific,LAC,2010-11,7639,8089
Pacific,LAC,2011-12,5919,6438
Pacific,LAC,2012-13,7477,8289
Pacific,LAC,2013-14,7863,8850
Pacific,LAC,2014-15,7762,8751
Pacific,LAC,2015-16,7908,8569
Pacific,LAC,2016-17,7888,8911
Pacific,LAC,2017-18,8058,8937
Pacific,LAC,2018-19,8378,9442
Pacific,LAC,2019-20,7322,8377
Pacific,LAC,2020-21,6970,8209
Pacific,LAC,2021-22,8029,8890
Pacific,LAC,2022-23,8087,9314
Pacific,GSW,2000-01,7808,7584
Pacific,GSW,2001-02,7814,8009
Pacific,GSW,2002-03,7805,8400
Pacific,GSW,2003-04,7442,7649
Pacific,GSW,2004-05,7762,8094
Pacific,GSW,2005-06,7737,8076
Pacific,GSW,2006-07,8152,8737
Pacific,GSW,2007-08,8163,9105
Pacific,GSW,2008-09,8165,8905
Pacific,GSW,2009-10,8246,8922
Pacific,GSW,2010-11,7839,8477
Pacific,GSW,2011-12,6141,6453
Pacific,GSW,2012-13,7806,8296
Pacific,GSW,2013-14,7952,8549
Pacific,GSW,2014-15,8069,9016
Pacific,GSW,2015-16,8220,9421
Pacific,GSW,2016-17,8197,9503
Pacific,GSW,2017-18,8136,9304
Pacific,GSW,2018-19,8300,9650
Pacific,GSW,2019-20,6551,6912
Pacific,GSW,2020-21,7344,8187
Pacific,GSW,2021-22,8036,9102
Pacific,GSW,2022-23,8376,9753
Pacific,LAL,2000-01,7619,8251
Pacific,LAL,2001-02,7612,8304
Pacific,LAL,2002-03,7709,8230
Pacific,LAL,2003-04,7638,8052
Pacific,LAL,2004-05,7521,8095
Pacific,LAL,2005-06,7555,8154
Pacific,LAL,2006-07,7818,8474
Pacific,LAL,2007-08,7884,8904
Pacific,LAL,2008-09,7795,8768
Pacific,LAL,2009-10,7659,8339
