Player,Season,Record,TM,GP,W,L,MIN_PLAYED,PTS,POSS,TCHS,FRONT_CT_TCHS,POSS_TIME,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TCH,PTS_PER_TCH,ELBOW_CT_TCHS,POST_UPS,PAINT_TCHS,PTS_PER_ELB_TCH,PTS_PER_POST_TCH,PTS_PER_PAINT_TCH
Terry Rozier,2017-18,55-27,BOS,77,51,26,2001,882,7879,4482,1906,312,4.18,3.68,0.197,36,1,71,0.333,2,0.423
Xavier Silas,2017-18,55-27,BOS,2,1,1,7,0,7879,9,7,0,2.22,1.56,0,1,0,1,0,0,0
Al Horford,2018-19,49-33,BOS,68,41,27,1973,925,8184,3878,2542,115,1.78,0.76,0.239,279,254,351,0.366,0.528,0.803
Aron Baynes,2018-19,49-33,BOS,51,32,19,821,284,8184,1211,780,27,1.32,0.28,0.235,69,29,195,0.594,0.483,0.795
Brad Wanamaker,2018-19,49-33,BOS,36,27,9,343,140,8184,716,307,51,4.25,3.9,0.196,1,1,4,0,0,0.5
Daniel Theis,2018-19,49-33,BOS,66,38,28,908,374,8184,1469,978,34,1.4,0.33,0.255,100,21,224,0.54,0.571,0.92
Gordon Hayward,2018-19,49-33,BOS,72,44,28,1863,825,8184,3272,2003,144,2.65,1.76,0.252,102,25,120,0.657,0.4,0.858
Greg Monroe,2018-19,49-33,BOS,2,0,2,5,6,8184,11,8,0,1.91,0.45,0.545,1,1,4,0,2,1
Guerschon Yabusele,2018-19,49-33,BOS,41,27,14,251,94,8184,384,251,12,1.83,0.7,0.245,23,36,37,0.391,0.528,0.622
Jaylen Brown,2018-19,49-33,BOS,74,41,33,1913,964,8184,2353,1554,92,2.34,1.69,0.41,47,92,165,0.745,0.707,0.812
Jayson Tatum,2018-19,49-33,BOS,79,48,31,2455,1243,8184,3582,2250,161,2.7,1.83,0.347,84,117,171,0.81,0.718,0.819
Kyrie Irving,2018-19,49-33,BOS,67,37,30,2214,1596,8184,5146,2083,367,4.27,3.91,0.31,84,50,131,0.464,0.72,0.71
Marcus Morris Sr.,2018-19,49-33,BOS,75,44,31,2091,1046,8184,3289,1905,110,2.01,1.02,0.318,81,112,146,0.568,0.741,0.904
Marcus Smart,2018-19,49-33,BOS,80,48,32,2200,708,8184,3726,1905,211,3.39,2.59,0.19,44,82,133,0.409,0.341,0.534
PJ Dozier,2018-19,49-33,BOS,6,5,1,51,19,8184,86,54,3,1.99,1.23,0.221,3,0,6,0,0,1.333
RJ Hunter,2018-19,49-33,BOS,1,1,0,26,17,8184,34,27,2,2.68,1.65,0.5,1,0,0,0,0,0
Robert Williams III,2018-19,49-33,BOS,32,18,14,283,81,8184,368,217,8,1.37,0.34,0.22,33,6,78,0.424,0.667,0.872
Semi Ojeleye,2018-19,49-33,BOS,56,39,17,594,186,8184,766,410,22,1.74,0.78,0.243,14,5,39,0.714,0,1
Terry Rozier,2018-19,49-33,BOS,79,47,32,1791,708,8184,4097,1560,288,4.22,3.73,0.173,20,0,42,0.5,0,0.619
Brad Wanamaker,2019-20,48-24,BOS,71,48,23,1369,487,7182,2747,994,193,4.21,3.93,0.177,18,0,33,0.333,0,0.909
Carsen Edwards,2019-20,48-24,BOS,37,25,12,351,121,7182,501,257,24,2.84,2.38,0.242,1,1,3,0,0,0
Daniel Theis,2019-20,48-24,BOS,65,42,23,1566,601,7182,2341,1642,60,1.53,0.39,0.257,189,14,367,0.619,0.429,0.967
Enes Freedom,2019-20,48-24,BOS,58,36,22,983,469,7182,1395,1013,43,1.83,0.5,0.336,46,154,322,0.478,0.682,1.04
Gordon Hayward,2019-20,48-24,BOS,52,34,18,1740,909,7182,2999,1820,147,2.95,2.08,0.303,80,13,132,0.625,0.308,0.795
Grant Williams,2019-20,48-24,BOS,69,47,22,1043,237,7182,1315,796,40,1.83,0.73,0.18,46,30,109,0.37,0.633,0.716
Javonte Green,2019-20,48-24,BOS,48,33,15,468,163,7182,594,315,19,1.86,1.04,0.274,19,1,42,0.947,0,0.81
Jaylen Brown,2019-20,48-24,BOS,57,38,19,1934,1159,7182,2792,1797,123,2.65,1.93,0.415,62,62,124,0.629,0.71,1.065
Jayson Tatum,2019-20,48-24,BOS,66,46,20,2265,1547,7182,4495,2553,225,3.01,2.1,0.344,92,98,135,0.728,0.52,0.704
Kemba Walker,2019-20,48-24,BOS,56,37,19,1742,1145,7182,3967,1347,331,5,4.59,0.289,17,0,40,0.471,0,0.45
Marcus Smart,2019-20,48-24,BOS,60,39,21,1919,776,7182,3521,1743,212,3.61,2.89,0.22,45,53,91,0.333,0.415,0.429
Robert Williams III,2019-20,48-24,BOS,29,19,10,388,150,7182,508,349,11,1.24,0.31,0.295,34,4,113,0.5,0.5,1.062
Romeo Langford,2019-20,48-24,BOS,32,22,10,370,79,7182,309,204,12,2.27,1.4,0.256,6,2,19,0,0,0.737
Semi Ojeleye,2019-20,48-24,BOS,69,46,23,1011,236,7182,1284,510,34,1.61,0.58,0.184,23,8,50,0.391,0,0.62
Tacko Fall,2019-20,48-24,BOS,7,5,2,33,23,7182,42,25,1,2.05,0.69,0.548,2,9,14,0,0.556,1.357
Tremont Waters,2019-20,48-24,BOS,11,8,3,119,40,7182,241,80,21,5.2,5.23,0.166,0,0,2,0,0,1
Vincent Poirier,2019-20,48-24,BOS,22,18,4,130,41,7182,183,118,5,1.61,0.45,0.224,14,5,26,0.286,0.4,0.923
Aaron Nesmith,2020-21,36-36,BOS,46,22,24,669,218,7094,767,435,21,1.67,0.81,0.284,8,1,33,0.5,0,0.97
Carsen Edwards,2020-21,36-36,BOS,31,14,17,276,123,7094,362,217,15,2.4,1.75,0.34,2,0,8,2,0,1.25
Daniel Theis,2020-21,36-36,BOS,42,20,22,1027,397,7094,1574,937,40,1.54,0.38,0.252,101,5,144,0.604,1.2,1.188
Evan Fournier,2020-21,36-36,BOS,16,6,10,472,208,7094,642,417,26,2.41,1.66,0.324,7,5,9,1.286,0,1.333
Grant Williams,2020-21,36-36,BOS,63,30,33,1138,294,7094,1588,845,42,1.57,0.59,0.185,29,43,93,0.207,0.488,0.656
Jabari Parker,2020-21,36-36,BOS,10,4,6,138,64,7094,221,112,7,1.96,1.05,0.29,8,9,22,0.5,0.667,1.136
Javonte Green,2020-21,36-36,BOS,25,12,13,345,105,7094,462,259,13,1.67,0.65,0.227,9,1,35,0.556,0,0.743
Jaylen Brown,2020-21,36-36,BOS,58,30,28,1999,1430,7094,3303,2153,155,2.81,2.23,0.433,62,80,129,0.694,0.463,0.961
Jayson Tatum,2020-21,36-36,BOS,64,34,30,2290,1692,7094,4973,2880,307,3.71,2.61,0.34,114,164,159,0.754,0.628,0.931
Jeff Teague,2020-21,36-36,BOS,34,15,19,616,233,7094,1178,453,91,4.63,4.42,0.198,11,3,11,0.182,0.667,0.182
Kemba Walker,2020-21,36-36,BOS,43,22,21,1369,829,7094,3127,1095,242,4.64,4.41,0.265,9,0,19,0.222,0,0.526
Luke Kornet,2020-21,36-36,BOS,18,7,11,254,80,7094,383,255,8,1.29,0.35,0.209,25,7,44,0.24,0,0.977
Marcus Smart,2020-21,36-36,BOS,48,24,24,1581,627,7094,3099,1406,184,3.56,2.98,0.202,37,42,70,0.297,0.476,0.529
Moritz Wagner,2020-21,36-36,BOS,9,6,3,61,11,7094,101,54,3,1.62,0.43,0.109,3,5,9,0.333,0,0.111
Payton Pritchard,2020-21,36-36,BOS,66,33,33,1268,510,7094,2358,921,168,4.27,3.94,0.216,13,1,30,0.154,0,0.433
Robert Williams III,2020-21,36-36,BOS,52,29,23,985,417,7094,1370,1032,32,1.39,0.41,0.304,98,28,342,0.265,0.357,1.02
Romeo Langford,2020-21,36-36,BOS,18,9,9,283,56,7094,260,182,10,2.3,1.32,0.215,4,3,20,0.5,0.333,0.7
Semi Ojeleye,2020-21,36-36,BOS,56,28,28,950,260,7094,1186,545,32,1.63,0.58,0.219,17,2,46,0.353,1,0.87
Tacko Fall,2020-21,36-36,BOS,19,13,6,136,47,7094,131,89,5,2.34,0.73,0.359,6,13,43,0,0.769,0.953
Tremont Waters,2020-21,36-36,BOS,26,13,13,238,99,7094,509,151,43,5.03,4.86,0.194,2,0,5,0,0,0.4
Tristan Thompson,2020-21,36-36,BOS,54,27,27,1287,409,7094,1697,1114,55,1.94,0.74,0.241,141,71,379,0.454,0.465,0.749
CJ Miles,2021-22,51-31,BOS,1,1,0,2,0,7989,1,1,0,2.2,1,0,0,0,0,0,0,0
Juwan Morgan,2021-22,51-31,BOS,1,1,0,4,0,7989,1,0,0,1.88,0,0,0,0,0,0,0,0
Kelan Martin,2021-22,51-31,BOS,3,2,1,6,0,7989,10,5,1,3.27,2.3,0,0,0,0,0,0,0
Juancho Hernangomez,2021-22,51-31,BOS,18,9,9,96,19,7989,120,69,3,1.49,0.53,0.158,6,0,14,0.667,0,0.357
Marcus Smart,2021-22,51-31,BOS,70,47,23,2265,847,7989,4563,1991,280,3.68,3.04,0.186,42,65,74,0.333,0.385,0.824
Al Horford,2021-22,51-31,BOS,68,46,22,1974,694,7989,3357,1996,97,1.73,0.64,0.207,151,131,268,0.318,0.55,0.791
Bruno Fernando,2021-22,51-31,BOS,20,14,6,58,19,7989,90,49,3,1.78,0.71,0.211,5,3,15,0.8,0.667,0.533
Dennis Schroder,2021-22,51-31,BOS,48,28,20,1406,684,7989,3226,1335,263,4.9,4.15,0.212,8,0,13,0.25,0,0.462
Payton Pritchard,2021-22,51-31,BOS,71,46,25,1001,442,7989,2028,963,135,3.99,3.59,0.218,17,0,23,0.118,0,0.261
Brodric Thomas,2021-22,51-31,BOS,12,8,4,60,21,7989,91,39,6,4.04,3.74,0.231,2,0,4,0,0,0.5
Luke Kornet,2021-22,51-31,BOS,12,9,3,85,26,7989,108,76,2,1.34,0.33,0.241,8,3,30,0,0.667,0.867
Aaron Nesmith,2021-22,51-31,BOS,52,32,20,574,196,7989,802,426,25,1.88,0.99,0.244,8,0,16,0.625,0,1
Derrick White,2021-22,51-31,BOS,26,20,6,713,286,7989,1173,553,76,3.89,3.23,0.244,9,1,15,0.778,0,1.067
Josh Richardson,2021-22,51-31,BOS,43,27,16,1071,421,7989,1680,974,75,2.69,1.83,0.251,22,0,39,0.545,0,0.795
Enes Freedom,2021-22,51-31,BOS,34,20,14,400,128,7989,467,267,11,1.44,0.28,0.274,28,24,108,0.714,0.792,0.824
Robert Williams III,2021-22,51-31,BOS,60,40,20,1770,601,7989,2144,1374,45,1.26,0.28,0.28,84,11,545,0.333,0.364,0.974
